customer_id,name,email,country,signup_date
1,Riya Reddy,customer1@example.com,Germany,2023-01-26
2,Diya Patel,customer2@example.com,USA,2023-08-17
3,Rohan Reddy,customer3@example.com,Germany,2024-11-23
4,Vikram Joshi,customer4@example.com,Australia,2023-03-31
5,Kavya Sharma,customer5@example.com,India,2023-01-31
6,Ananya Patel,customer6@example.com,Australia,2024-06-01
7,Aarav Joshi,customer7@example.com,Germany,2023-07-23
8,Riya Joshi,customer8@example.com,USA,2024-03-05
9,Meera Nair,customer9@example.com,India,2023-10-12
10,Sneha Kumar,customer10@example.com,UK,2024-03-08
11,Diya Kumar,customer11@example.com,UK,2023-08-09
12,Aditya Reddy,customer12@example.com,India,2024-01-25
13,Ishaan Gupta,customer13@example.com,UK,2024-09-10
14,Sneha Sharma,customer14@example.com,Australia,2024-04-15
15,Aditya Rao,customer15@example.com,Australia,2023-03-22
16,Diya Nair,customer16@example.com,Australia,2024-01-06
17,Ananya Reddy,customer17@example.com,Germany,2023-02-16
18,Ananya Singh,customer18@example.com,USA,2023-03-23
19,Varun Reddy,customer19@example.com,UK,2024-01-25
20,Meera Gupta,customer20@example.com,UK,2023-06-16
21,Ishaan Patel,customer21@example.com,UK,2024-11-17
22,Rohan Reddy,customer22@example.com,Germany,2024-09-15
23,Arjun Joshi,customer23@example.com,USA,2023-09-08
24,Meera Rao,customer24@example.com,Germany,2023-10-04
25,Rohan Joshi,customer25@example.com,Germany,2023-08-13
26,Ishaan Sharma,customer26@example.com,India,2023-08-23
27,Sneha Gupta,customer27@example.com,UK,2024-02-15
28,Aditya Patel,customer28@example.com,Germany,2024-08-03
29,Ishaan Patel,customer29@example.com,Canada,2024-11-02
30,Kavya Verma,customer30@example.com,UK,2023-05-27
31,Arjun Patel,customer31@example.com,Australia,2024-07-28
32,Diya Nair,customer32@example.com,Australia,2024-03-14
33,Kavya Gupta,customer33@example.com,USA,2023-08-13
34,Neha Verma,customer34@example.com,India,2023-04-04
35,Varun Reddy,customer35@example.com,Germany,2023-06-06
36,Arjun Rao,customer36@example.com,India,2024-09-02
37,Kavya Rao,customer37@example.com,Canada,2024-09-02
38,Neha Singh,customer38@example.com,India,2024-07-20
39,Riya Reddy,customer39@example.com,Australia,2024-11-29
40,Sneha Singh,customer40@example.com,UK,2024-10-18
41,Aditya Singh,customer41@example.com,USA,2024-03-21
42,Meera Sharma,customer42@example.com,Australia,2023-09-27
43,Sneha Kumar,customer43@example.com,India,2024-06-03
44,Varun Singh,customer44@example.com,Australia,2024-10-16
45,Rahul Patel,customer45@example.com,UK,2023-06-06
46,Sneha Kumar,customer46@example.com,Australia,2024-07-06
47,Vikram Sharma,customer47@example.com,UK,2024-09-05
48,Meera Sharma,customer48@example.com,UK,2023-04-25
49,Vikram Singh,customer49@example.com,India,2023-09-03
50,Ananya Nair,customer50@example.com,India,2023-03-22
51,Rohan Verma,customer51@example.com,Australia,2023-03-12
52,Sneha Kumar,customer52@example.com,Germany,2023-05-12
53,Meera Joshi,customer53@example.com,UK,2023-06-19
54,Neha Nair,customer54@example.com,USA,2024-03-09
55,Vikram Joshi,customer55@example.com,Germany,2023-07-25
56,Diya Rao,customer56@example.com,Germany,2024-11-18
57,Ishaan Verma,customer57@example.com,Canada,2024-06-13
58,Aditya Patel,customer58@example.com,India,2023-08-19
59,Ishaan Sharma,customer59@example.com,Australia,2024-08-25
60,Ananya Nair,customer60@example.com,India,2023-08-14
61,Aditya Sharma,customer61@example.com,India,2023-08-23
62,Vikram Sharma,customer62@example.com,India,2023-12-05
63,Neha Patel,customer63@example.com,Germany,2023-10-13
64,Meera Patel,customer64@example.com,USA,2024-07-06
65,Rohan Nair,customer65@example.com,Canada,2024-08-13
66,Ananya Verma,customer66@example.com,USA,2024-02-21
67,Aditya Reddy,customer67@example.com,Canada,2024-11-05
68,Ishaan Rao,customer68@example.com,Canada,2024-02-25
69,Varun Sharma,customer69@example.com,Germany,2024-11-20
70,Riya Reddy,customer70@example.com,Canada,2023-03-04
71,Rohan Gupta,customer71@example.com,USA,2023-04-22
72,Ananya Patel,customer72@example.com,Canada,2024-07-03
73,Arjun Rao,customer73@example.com,UK,2023-07-07
74,Meera Patel,customer74@example.com,Canada,2023-03-19
75,Sneha Joshi,customer75@example.com,India,2023-04-11
76,Riya Joshi,customer76@example.com,India,2023-01-16
77,Vikram Patel,customer77@example.com,Canada,2023-06-20
78,Meera Verma,customer78@example.com,Canada,2023-08-07
79,Vikram Sharma,customer79@example.com,Canada,2023-06-18
80,Aarav Rao,customer80@example.com,Canada,2023-09-29
81,Diya Rao,customer81@example.com,Germany,2024-07-23
82,Rohan Verma,customer82@example.com,USA,2023-06-08
83,Diya Patel,customer83@example.com,Australia,2023-03-01
84,Rohan Joshi,customer84@example.com,Germany,2023-03-04
85,Ishaan Sharma,customer85@example.com,Australia,2023-02-21
86,Meera Joshi,customer86@example.com,USA,2024-06-27
87,Aarav Joshi,customer87@example.com,USA,2023-03-24
88,Aditya Nair,customer88@example.com,Germany,2023-03-11
89,Varun Patel,customer89@example.com,India,2024-02-18
90,Vikram Nair,customer90@example.com,Australia,2023-09-10
91,Rahul Sharma,customer91@example.com,India,2024-09-26
92,Kavya Nair,customer92@example.com,Australia,2024-08-01
93,Ishaan Singh,customer93@example.com,Germany,2023-07-29
94,Rohan Gupta,customer94@example.com,UK,2023-09-02
95,Kavya Kumar,customer95@example.com,Germany,2024-11-18
96,Diya Verma,customer96@example.com,India,2023-11-20
97,Aarav Verma,customer97@example.com,Australia,2024-09-28
98,Aditya Reddy,customer98@example.com,USA,2024-07-04
99,Neha Singh,customer99@example.com,UK,2023-05-16
100,Vikram Reddy,customer100@example.com,UK,2023-09-08
101,Diya Kumar,customer101@example.com,Australia,2024-03-24
102,Rohan Singh,customer102@example.com,Germany,2024-09-18
103,Neha Sharma,customer103@example.com,Australia,2024-11-14
104,Diya Reddy,customer104@example.com,UK,2023-05-18
105,Aditya Reddy,customer105@example.com,USA,2024-07-20
106,Diya Singh,customer106@example.com,USA,2024-09-11
107,Rohan Gupta,customer107@example.com,Germany,2023-07-28
108,Riya Singh,customer108@example.com,Canada,2024-06-01
109,Diya Sharma,customer109@example.com,Germany,2023-04-05
110,Kavya Singh,customer110@example.com,India,2023-02-15
111,Ishaan Kumar,customer111@example.com,UK,2024-10-14
112,Arjun Verma,customer112@example.com,Germany,2024-07-18
113,Kavya Joshi,customer113@example.com,India,2023-01-10
114,Aditya Kumar,customer114@example.com,India,2024-07-12
115,Varun Gupta,customer115@example.com,Australia,2024-08-19
116,Arjun Rao,customer116@example.com,India,2023-05-11
117,Diya Gupta,customer117@example.com,UK,2023-02-10
118,Ananya Patel,customer118@example.com,India,2024-11-13
119,Ishaan Joshi,customer119@example.com,Australia,2024-02-21
120,Rohan Kumar,customer120@example.com,USA,2023-08-31
121,Sneha Kumar,customer121@example.com,India,2024-02-27
122,Arjun Gupta,customer122@example.com,Germany,2024-02-26
123,Varun Patel,customer123@example.com,USA,2023-10-01
124,Sneha Reddy,customer124@example.com,India,2024-01-27
125,Varun Verma,customer125@example.com,USA,2023-08-16
126,Varun Verma,customer126@example.com,UK,2023-12-25
127,Varun Patel,customer127@example.com,India,2023-08-17
128,Riya Patel,customer128@example.com,UK,2024-02-13
129,Diya Reddy,customer129@example.com,UK,2023-10-13
130,Riya Joshi,customer130@example.com,Germany,2024-02-14
131,Varun Joshi,customer131@example.com,India,2023-12-06
132,Aditya Singh,customer132@example.com,Australia,2023-07-02
133,Diya Sharma,customer133@example.com,Australia,2023-04-22
134,Kavya Gupta,customer134@example.com,Canada,2023-11-18
135,Rahul Joshi,customer135@example.com,Canada,2023-04-29
136,Vikram Nair,customer136@example.com,UK,2023-07-14
137,Aarav Rao,customer137@example.com,Australia,2023-01-02
138,Vikram Joshi,customer138@example.com,USA,2024-11-17
139,Ishaan Rao,customer139@example.com,Germany,2023-03-13
140,Vikram Gupta,customer140@example.com,UK,2024-09-30
141,Riya Reddy,customer141@example.com,Australia,2023-11-04
142,Diya Rao,customer142@example.com,Canada,2023-12-01
143,Rohan Singh,customer143@example.com,USA,2024-07-21
144,Ananya Rao,customer144@example.com,Canada,2024-11-11
145,Riya Kumar,customer145@example.com,Australia,2024-09-22
146,Diya Rao,customer146@example.com,India,2024-07-15
147,Diya Singh,customer147@example.com,Canada,2023-08-04
148,Sneha Nair,customer148@example.com,Germany,2024-09-13
149,Ishaan Verma,customer149@example.com,Canada,2024-03-28
150,Riya Patel,customer150@example.com,Canada,2024-06-07
151,Sneha Kumar,customer151@example.com,India,2024-11-05
152,Diya Joshi,customer152@example.com,Germany,2024-11-10
153,Rahul Gupta,customer153@example.com,USA,2023-04-06
154,Riya Singh,customer154@example.com,USA,2023-08-19
155,Arjun Sharma,customer155@example.com,USA,2023-02-17
156,Meera Nair,customer156@example.com,Canada,2023-03-16
157,Kavya Nair,customer157@example.com,Germany,2023-07-19
158,Rohan Rao,customer158@example.com,Canada,2024-05-21
159,Ananya Kumar,customer159@example.com,Germany,2024-11-02
160,Aarav Reddy,customer160@example.com,USA,2024-03-11
161,Arjun Joshi,customer161@example.com,India,2024-04-20
162,Neha Patel,customer162@example.com,Canada,2023-05-05
163,Arjun Verma,customer163@example.com,Australia,2024-11-14
164,Neha Nair,customer164@example.com,Canada,2023-11-21
165,Rahul Joshi,customer165@example.com,Australia,2024-03-12
166,Meera Kumar,customer166@example.com,Canada,2024-05-01
167,Diya Patel,customer167@example.com,UK,2024-10-14
168,Sneha Joshi,customer168@example.com,Germany,2024-05-11
169,Ananya Singh,customer169@example.com,India,2024-03-26
170,Rohan Singh,customer170@example.com,UK,2023-08-29
171,Ishaan Gupta,customer171@example.com,India,2024-07-07
172,Arjun Kumar,customer172@example.com,Canada,2023-08-25
173,Rohan Kumar,customer173@example.com,India,2023-08-08
174,Kavya Rao,customer174@example.com,Australia,2023-12-05
175,Meera Rao,customer175@example.com,USA,2023-03-05
176,Varun Rao,customer176@example.com,Australia,2024-02-03
177,Rohan Sharma,customer177@example.com,Canada,2024-08-12
178,Meera Sharma,customer178@example.com,UK,2023-12-27
179,Sneha Rao,customer179@example.com,Australia,2024-03-05
180,Rohan Joshi,customer180@example.com,USA,2024-09-09
181,Meera Patel,customer181@example.com,Canada,2023-10-07
182,Meera Sharma,customer182@example.com,UK,2024-02-03
183,Riya Rao,customer183@example.com,Canada,2023-06-19
184,Vikram Kumar,customer184@example.com,Australia,2024-09-29
185,Aarav Rao,customer185@example.com,Australia,2024-08-29
186,Riya Sharma,customer186@example.com,Germany,2023-03-27
187,Kavya Kumar,customer187@example.com,USA,2024-04-17
188,Aarav Singh,customer188@example.com,UK,2024-01-24
189,Ananya Verma,customer189@example.com,UK,2023-12-01
190,Sneha Rao,customer190@example.com,Canada,2023-10-12
191,Diya Reddy,customer191@example.com,India,2024-04-26
192,Rohan Joshi,customer192@example.com,UK,2023-02-23
193,Ananya Reddy,customer193@example.com,India,2024-10-29
194,Sneha Sharma,customer194@example.com,USA,2023-09-11
195,Varun Sharma,customer195@example.com,USA,2024-09-28
196,Ananya Kumar,customer196@example.com,Germany,2024-04-29
197,Aditya Nair,customer197@example.com,Canada,2023-08-12
198,Rohan Singh,customer198@example.com,USA,2024-01-13
199,Rahul Nair,customer199@example.com,USA,2023-04-28
200,Diya Reddy,customer200@example.com,India,2024-08-15
201,Vikram Singh,customer201@example.com,Germany,2024-08-12
202,Vikram Rao,customer202@example.com,Germany,2024-02-11
203,Ananya Reddy,customer203@example.com,Germany,2024-08-29
204,Varun Patel,customer204@example.com,Germany,2023-04-15
205,Sneha Singh,customer205@example.com,Australia,2024-12-01
206,Sneha Reddy,customer206@example.com,India,2024-08-02
207,Ishaan Joshi,customer207@example.com,Germany,2024-03-14
208,Ishaan Reddy,customer208@example.com,Germany,2024-06-02
209,Ishaan Sharma,customer209@example.com,Canada,2024-03-06
210,Aditya Rao,customer210@example.com,Germany,2024-01-06
211,Vikram Verma,customer211@example.com,Canada,2023-06-06
212,Arjun Joshi,customer212@example.com,UK,2024-10-28
213,Rahul Joshi,customer213@example.com,Canada,2024-05-10
214,Kavya Nair,customer214@example.com,UK,2023-10-02
215,Varun Patel,customer215@example.com,UK,2023-03-30
216,Vikram Verma,customer216@example.com,Canada,2023-09-07
217,Rahul Nair,customer217@example.com,Canada,2024-11-15
218,Ishaan Sharma,customer218@example.com,UK,2024-05-21
219,Arjun Verma,customer219@example.com,UK,2023-08-06
220,Sneha Singh,customer220@example.com,UK,2023-12-15
221,Vikram Nair,customer221@example.com,Australia,2023-10-10
222,Aarav Joshi,customer222@example.com,India,2023-07-15
223,Ananya Rao,customer223@example.com,Australia,2024-05-15
224,Sneha Patel,customer224@example.com,Germany,2024-05-02
225,Rohan Verma,customer225@example.com,India,2024-04-03
226,Aditya Singh,customer226@example.com,Canada,2023-08-15
227,Rohan Patel,customer227@example.com,Germany,2023-11-10
228,Rahul Gupta,customer228@example.com,Australia,2024-04-29
229,Neha Gupta,customer229@example.com,Germany,2024-03-11
230,Neha Gupta,customer230@example.com,Germany,2023-12-27
231,Meera Singh,customer231@example.com,UK,2023-11-10
232,Ananya Reddy,customer232@example.com,UK,2023-07-17
233,Aditya Joshi,customer233@example.com,USA,2023-07-09
234,Ananya Verma,customer234@example.com,Germany,2023-10-11
235,Rahul Joshi,customer235@example.com,UK,2024-09-03
236,Aditya Patel,customer236@example.com,USA,2023-10-31
237,Ishaan Kumar,customer237@example.com,India,2023-11-06
238,Rohan Joshi,customer238@example.com,UK,2023-05-10
239,Aarav Sharma,customer239@example.com,UK,2024-07-20
240,Rohan Kumar,customer240@example.com,Canada,2024-10-15
241,Aditya Sharma,customer241@example.com,UK,2024-08-10
242,Meera Verma,customer242@example.com,UK,2024-03-27
243,Arjun Sharma,customer243@example.com,Canada,2023-09-16
244,Aditya Reddy,customer244@example.com,Canada,2024-02-15
245,Aditya Nair,customer245@example.com,Germany,2024-10-06
246,Aarav Kumar,customer246@example.com,Australia,2023-06-02
247,Diya Reddy,customer247@example.com,India,2023-09-12
248,Neha Rao,customer248@example.com,Australia,2024-09-12
249,Sneha Nair,customer249@example.com,Australia,2023-08-20
250,Kavya Verma,customer250@example.com,UK,2024-03-29
251,Varun Nair,customer251@example.com,UK,2024-03-15
252,Rahul Nair,customer252@example.com,Australia,2023-03-03
253,Rohan Reddy,customer253@example.com,Germany,2023-08-01
254,Ananya Singh,customer254@example.com,India,2024-11-07
255,Arjun Patel,customer255@example.com,Australia,2023-06-27
256,Aditya Kumar,customer256@example.com,Canada,2023-01-03
257,Meera Nair,customer257@example.com,UK,2024-04-26
258,Aarav Patel,customer258@example.com,Germany,2023-10-23
259,Diya Verma,customer259@example.com,Germany,2023-03-14
260,Ananya Singh,customer260@example.com,Australia,2024-10-02
261,Riya Patel,customer261@example.com,India,2024-03-11
262,Neha Patel,customer262@example.com,USA,2024-10-25
263,Vikram Singh,customer263@example.com,India,2023-05-26
264,Aarav Kumar,customer264@example.com,Australia,2023-11-11
265,Rohan Nair,customer265@example.com,Canada,2023-10-23
266,Aditya Verma,customer266@example.com,Germany,2023-11-08
267,Kavya Singh,customer267@example.com,Australia,2024-05-27
268,Meera Verma,customer268@example.com,Australia,2023-03-24
269,Aarav Rao,customer269@example.com,Australia,2023-11-27
270,Diya Sharma,customer270@example.com,USA,2023-04-04
271,Riya Nair,customer271@example.com,India,2024-08-24
272,Sneha Singh,customer272@example.com,India,2024-08-13
273,Sneha Kumar,customer273@example.com,Australia,2024-04-26
274,Riya Verma,customer274@example.com,USA,2023-10-12
275,Rahul Rao,customer275@example.com,Canada,2024-10-12
276,Aditya Verma,customer276@example.com,Canada,2023-12-23
277,Ishaan Gupta,customer277@example.com,India,2024-11-17
278,Varun Kumar,customer278@example.com,Canada,2023-12-04
279,Rohan Verma,customer279@example.com,Germany,2023-10-23
280,Kavya Joshi,customer280@example.com,Canada,2023-02-07
281,Aditya Gupta,customer281@example.com,UK,2023-09-16
282,Aditya Rao,customer282@example.com,India,2024-06-10
283,Riya Joshi,customer283@example.com,Canada,2024-04-18
284,Aarav Patel,customer284@example.com,UK,2024-06-14
285,Rahul Verma,customer285@example.com,Canada,2024-10-02
286,Sneha Sharma,customer286@example.com,UK,2023-07-28
287,Neha Kumar,customer287@example.com,Canada,2023-10-22
288,Vikram Verma,customer288@example.com,India,2023-05-05
289,Riya Nair,customer289@example.com,Germany,2023-09-03
290,Arjun Singh,customer290@example.com,India,2024-07-18
291,Neha Rao,customer291@example.com,USA,2023-04-06
292,Varun Reddy,customer292@example.com,India,2024-04-17
293,Riya Kumar,customer293@example.com,Germany,2024-05-25
294,Diya Joshi,customer294@example.com,Canada,2023-10-07
295,Varun Verma,customer295@example.com,USA,2024-04-28
296,Meera Joshi,customer296@example.com,Canada,2023-05-29
297,Ananya Nair,customer297@example.com,Germany,2024-06-04
298,Vikram Kumar,customer298@example.com,UK,2023-03-13
299,Sneha Rao,customer299@example.com,Australia,2023-12-15
300,Diya Sharma,customer300@example.com,Germany,2023-10-17
301,Diya Nair,customer301@example.com,Germany,2024-08-16
302,Meera Kumar,customer302@example.com,Australia,2024-04-02
303,Meera Gupta,customer303@example.com,Australia,2023-12-07
304,Sneha Joshi,customer304@example.com,Canada,2024-01-22
305,Vikram Gupta,customer305@example.com,Germany,2023-07-13
306,Ananya Nair,customer306@example.com,USA,2024-01-28
307,Varun Rao,customer307@example.com,UK,2023-02-14
308,Rohan Verma,customer308@example.com,Canada,2024-01-26
309,Riya Kumar,customer309@example.com,India,2024-05-22
310,Arjun Joshi,customer310@example.com,UK,2024-08-27
311,Varun Reddy,customer311@example.com,India,2024-03-26
312,Neha Verma,customer312@example.com,Germany,2023-01-16
313,Arjun Rao,customer313@example.com,USA,2024-11-01
314,Aditya Verma,customer314@example.com,UK,2023-09-29
315,Rahul Rao,customer315@example.com,India,2024-10-27
316,Varun Gupta,customer316@example.com,Australia,2024-11-21
317,Kavya Gupta,customer317@example.com,Germany,2024-10-03
318,Vikram Verma,customer318@example.com,India,2024-07-08
319,Rahul Reddy,customer319@example.com,Germany,2023-08-29
320,Riya Singh,customer320@example.com,Germany,2023-08-21
321,Aditya Rao,customer321@example.com,Germany,2023-04-11
322,Rohan Reddy,customer322@example.com,USA,2024-03-30
323,Rohan Singh,customer323@example.com,India,2023-01-30
324,Ishaan Sharma,customer324@example.com,UK,2023-10-28
325,Ishaan Rao,customer325@example.com,USA,2023-05-30
326,Neha Rao,customer326@example.com,Germany,2024-08-02
327,Sneha Kumar,customer327@example.com,USA,2023-06-24
328,Aditya Nair,customer328@example.com,Australia,2024-01-27
